lag_seconds,avg_autocorrelation
1,-0.0170807670517663
2,-0.007179394488930145
3,-0.00360416263367418
4,-0.00112130472513089
5,-0.0033200392180601423
6,-0.001404279361158115
7,0.00046091576140152164
8,0.00028939954596310846
9,-0.003225975565668933
10,0.0006769743133593261
11,-0.00025253913580409294
12,-0.0015376967131780946
13,-0.004313508576058472
14,0.002278775560174143
15,8.081029792807828e-06
16,-0.0016696261856014416
17,-0.005065348521483841
18,-0.0017779460549454753
19,-0.0030968789672213104
20,7.452716394052764e-05
21,-0.0009666478043892935
22,0.0006840135813545631
23,-0.0005017587747970592
24,-0.0009427748001214946
25,-0.0001511454588215695
26,0.0001865239721314824
27,0.0010419502712675944
28,0.0007942405388508065
29,0.0009337297139743918
30,0.004818195514671274
31,0.001096561214620867
32,-0.0009356303247155514
33,-0.002925549046107741
34,-0.00213336761575003
35,-0.0020464071036112802
36,0.0001174145693959655
37,-0.00015533024717276256
38,-0.0007502819595482459
39,0.000381294917923502
40,0.003552311914478447
41,0.0008411677639725525
42,0.0011181973982886267
43,-0.0015314035770642859
44,-0.00042894295172190395
45,-6.732230834511617e-05
46,0.0005137578340742242
47,-0.0020676360650079433
48,-0.0007161156149618411
49,-0.0011008741602056959
50,0.002116429603046689
51,0.0007009862401737502
52,-0.0010642801635255866
53,-7.999559261350576e-05
54,-0.001036567490326374
55,0.0018230339661483063
56,-0.0011307649802655398
57,-0.00024298584383667963
58,-0.0001541070965290888
59,0.0006250839452914465
60,0.004616965990023152
