day,price_mean,price_median,price_std,price_skew,price_kurtosis,price_count,ret_1s_mean,ret_1s_median,ret_1s_std,ret_1s_skew,ret_1s_kurtosis,ret_1s_count,ret_1m_mean,ret_1m_median,ret_1m_std,ret_1m_skew,ret_1m_kurtosis,ret_1m_count,ret_5m_mean,ret_5m_median,ret_5m_std,ret_5m_skew,ret_5m_kurtosis,ret_5m_count
1,100.11310951102489,100.104015321622,0.09471007543407432,0.543077611491735,-0.1732195114677868,23340,1.3653690862435604e-07,0.0,2.1109097467693158e-05,-0.9645530255421747,19.538745277811984,23339,7.90308033263534e-06,8.256990591704039e-06,0.00013957564627930545,-0.4941290365840125,2.954888785878424,23280,3.6760362708693016e-05,3.29963580275594e-05,0.00031689001188049177,-0.2622154830954782,1.6875727472433661,23040
2,99.96294143768934,99.96920297293968,0.1269959242571625,-0.03184296875015878,-0.8690194256610986,23340,8.319880481883414e-08,0.0,3.425150517709776e-05,-0.2675084074994657,4.828360990430987,23339,3.1397807687053617e-06,0.0,0.0002555170368632297,-0.06546376932106615,0.02619372460578484,23280,5.645386112896853e-06,2.0533037666137233e-05,0.0005698007555227165,-0.27666872123362807,0.4364268703227405,23040
3,100.39238901392093,100.40835935623348,0.14423629037833838,-0.47699278527571565,-0.4583227040130353,23340,2.417744639792511e-07,0.0,2.2134236065431155e-05,-1.0585109311807137,27.22233943591281,23339,1.3187029228128557e-05,1.5787456918103793e-05,0.00015845768117165207,-0.18627482993654546,2.924920825690659,23280,6.964748998866429e-05,6.37968707630776e-05,0.0003340078697520417,0.07621657601925419,1.9163430194001432,23040
4,99.45643388052555,99.49463191970004,0.25038864974146713,0.18159030976997229,-0.5206056404725383,23340,-3.559172113412507e-07,0.0,3.996583156787783e-05,1.0678279642538828,17.928572567251575,23339,-1.941909660427025e-05,-3.472689231193149e-05,0.0003073322927427982,0.31857280154405626,1.582776291821271,23280,-0.00010291131661872527,-0.00011746326338069046,0.0006535003051130648,-0.2752928145964708,0.5135068881656095,23040
5,101.63286169410183,101.84834938101788,0.6455301305461375,-1.270188567643455,0.48822333054290423,23340,6.79252460336003e-07,0.0,5.8523958888019566e-05,-0.0368600003543589,4.27584889447307,23339,3.910689877990335e-05,2.5237230675934086e-05,0.00047906742311760477,0.16697078858722117,1.2807929138026157,23280,0.00018269257130696512,0.00010126924118458724,0.001165674699053798,0.223888289960851,1.0964757592659726,23040
6,100.15579389306859,100.0942507068803,0.28387156874575986,0.15691912709216752,-1.4020184677643914,23340,1.8610098269436613e-07,0.0,4.799052114302996e-05,0.5053701420739494,17.737482946394433,23339,1.070779052299602e-05,1.2092263995899799e-05,0.0003397606265091046,-0.010083489282013622,0.844137565224143,23280,5.240274458829842e-05,8.473088864857647e-05,0.0007940079394527667,-0.14888437597414667,0.02621028047385776,23040
7,99.94823352130507,99.9617194494304,0.1013534043978512,-0.3089431728533296,-0.872124752744929,23340,-1.2287203723339444e-07,0.0,3.191131266938877e-05,0.0935763402012659,5.217878291411015,23339,-6.935539550016316e-06,0.0,0.00023153309303716862,-0.2391830214143657,0.6146714347435154,23280,-3.679205036945307e-05,0.0,0.0005301102456260339,-0.3809836346922009,0.25237206264500456,23040
8,100.32610454273916,100.35333256854422,0.11604177426594056,-0.4940687099006871,-0.3181618999806979,23340,2.2523750380143035e-07,0.0,3.756978419285536e-05,-0.7400078345000943,10.738050892411412,23339,1.3649180549304715e-05,2.2907408255834483e-05,0.0002809214913056541,-0.7626166145890125,4.331916680293991,23280,5.586993122131838e-05,9.14494741657279e-05,0.0006053776751711963,-0.4884316884114385,1.5559093781720232,23040
9,99.92845656419102,99.92783859492344,0.0638297145588487,0.34443673039572886,0.0699878184641638,23340,-8.205838566509022e-08,0.0,3.13331914935992e-05,-0.5970962520764067,10.279528404662885,23339,-5.297652439984754e-06,0.0,0.00020904771710310343,0.022069776545637517,1.1942674325951863,23280,-3.465153598051753e-05,-4.298302170624435e-05,0.00043014542330320444,0.04494422342116477,0.23322277834634964,23040
10,99.72781630287943,99.71421574851712,0.2847200436828231,0.6147968157735679,-0.5103962021188062,23340,-1.3250834975908248e-07,0.0,5.2546176035435755e-05,-0.30947949030785465,8.761122064951135,23339,-1.129258915434409e-05,0.0,0.00038884986257812414,-0.4664130439003965,2.56045535468781,23280,-5.532894536562935e-05,-5.44998728339019e-05,0.000954248980808551,-0.2535855377102502,0.7143495825933552,23040
11,99.44055462443552,99.5291674715086,0.3674594891629812,-0.07784610612973926,-1.5378560554178988,23340,-3.542704920330282e-07,0.0,6.4128884507787e-05,0.5643751431040662,13.682813418104653,23339,-2.2766019691135568e-05,-4.851425106111584e-05,0.0004567391156907051,0.2900308151103222,0.6235621663536937,23280,-0.00011852885943374219,-0.00013348917516553538,0.0009592448327156055,0.04400376788153714,0.02928371722740719,23040
12,99.9989699565341,100.00153209744138,0.13508799943370473,-0.14928822207590592,-0.6342378520284111,23340,-3.082019801120316e-08,0.0,2.730266896263618e-05,-0.7443970123374194,32.73798481269883,23339,-2.1360995056271872e-06,-7.673478157665947e-06,0.000198546260062797,-0.14832226497019046,2.1364231379489205,23280,-1.2814608022958097e-05,-6.132241794254423e-05,0.00043508192695495006,0.38673497531819456,-0.12303153989725368,23040
13,100.49446362947405,100.58313184016288,0.21936871793550966,-1.1097619040704354,-0.12705508594817605,23340,2.7433302938273123e-07,0.0,3.2669570359000116e-05,0.05068908428746962,19.552777568406253,23339,1.4628762365902076e-05,1.5815527684814867e-05,0.0002457797934028439,-0.15766622072063613,2.280699838977818,23280,6.965735190282909e-05,4.741583688949724e-05,0.0005623261467912134,0.06195879651974729,1.5477340676414295,23040
14,99.55077446117461,99.8957848467269,0.6462628856246911,-1.2249810678785502,-0.1354095457948712,23340,-8.515263333734297e-07,0.0,4.5358904526759295e-05,-0.033230955527735064,11.475201808139078,23339,-5.120889008112918e-05,-1.9106759015952157e-05,0.00033388694514316114,-0.71216588475109,5.3262059605506,23280,-0.00025192745422534466,-9.94024384240455e-05,0.0007712402922473492,-1.5063847440846685,5.5065670788588665,23040
15,100.26328324731948,100.27701693227093,0.10330556809519441,-0.31913719272659524,-0.6198120227346222,23340,1.5882508152448928e-07,0.0,2.8871214269088575e-05,-0.19503783421226956,7.732614595920314,23339,1.0818794169685056e-05,1.5508684863441147e-05,0.00021531509885164217,-0.08636810971888763,1.8731210664276672,23280,5.5955568125375014e-05,7.364792343300675e-05,0.00046685575973009585,-0.0923646249047222,0.36260788128205634,23040
16,99.78324488878759,99.77997799779978,0.07135131727710273,0.557584749278714,1.2073486772125692,23340,-1.2923919294773428e-07,0.0,2.881445570974536e-05,-2.4659419900174857,89.91039053106894,23339,-8.031877224161959e-06,0.0,0.0002040518087174131,-0.3410106319240153,1.5787485313212235,23280,-4.142878367557801e-05,0.0,0.00045064954633163706,-0.34931673071846814,0.9537347122827105,23040
